Year,Rank,Company,Revenues ($ millions),Profit ($ millions)
1955,1,General Motors,"9,823.5",806.0
1955,2,Exxon Mobil,"5,661.4",584.8
1955,3,U.S. Steel,"3,250.4",195.4
1955,4,General Electric,"2,959.1",212.6
1955,5,Esmark,"2,510.8",19.1
1955,6,Chrysler,"2,071.6",18.5
1955,7,Armour,"2,056.1",1.6
1955,8,Gulf Oil,"1,705.3",182.8
1955,9,Mobil,"1,703.6",183.8
1955,10,DuPont,"1,687.7",344.4
1955,11,Amoco,"1,667.4",132.8
1955,12,Bethlehem Steel,"1,660.3",117.2
1955,13,CBS,"1,631.0",84.6
1955,14,Texaco,"1,574.4",226.1
1955,15,AT&T Technologies,"1,526.2",55.8
1955,16,Shell Oil,"1,312.1",121.1
1955,17,Kraft,"1,210.3",37.4
1955,18,ChevronTexaco,"1,113.3",211.9
1955,19,Goodyear Tire & Rubber,"1,090.1",48.1
1955,20,Boeing,"1,033.2",37.0
1955,21,Sinclair Oil,"1,021.5",91.6
1955,22,Navistar International,994.1,36.3
1955,23,RCA,941.0,40.5
1955,24,Union Carbide,923.7,89.8
1955,25,Firestone Tire & Rubber,916.0,40.5
1955,26,Douglas Aircraft,915.2,36.2
1955,27,Procter & Gamble,911.0,52.3
1955,28,Republic Steel,846.3,52.9
1955,29,Citgo Petroleum,813.2,43.7
1955,30,ConocoPhillips,794.6,76.2
1955,31,General Foods,783.0,27.9
1955,32,Uniroyal,782.6,28.0
1955,33,Borden Chemical,776.8,22.7
1955,34,Lockheed Martin,732.9,22.4
1955,35,Alcoa,708.3,46.5
1955,36,International Paper,681.2,73.5
1955,37,Wilson,680.5,3.1
1955,38,Sunoco,659.5,40.3
1955,39,United Technologies,654.2,26.0
1955,40,American Can,652.4,30.4
1955,41,General Dynamics,648.6,20.8
1955,42,Rockwell Automation,645.8,22.2
1955,43,Eastman Kodak,633.5,69.8
1955,44,Goodrich,630.7,38.8
1955,45,Continental Group,616.2,20.7
1955,46,Bendix,607.7,25.5
1955,47,Atlantic Richfield,596.2,36.8
1955,48,Fortune Brands,533.1,41.3
1955,49,Ryerson Tull,532.0,41.1
1955,50,ARMCO,530.8,43.1
1955,51,Honeywell Intl.,519.7,10.8
1955,52,AMAX,509.5,43.1
1955,53,Conoco,500.1,41.7
1955,54,Allis-Chalmers,492.9,26.1
1955,55,Jones & Laughlin Steel,492.9,25.0
1955,56,General Mills,487.6,11.2
1955,57,National Intergroup,484.1,30.3
1955,58,Curtiss-Wright,475.1,19.4
1955,59,Olin,470.1,34.3
1955,60,Asarco,466.8,21.5
1955,61,Intl. Business Machines,461.4,46.5
1955,62,Anaconda,461.1,26.7
1955,63,Tidewater Oil,459.0,34.5
1955,64,Cudahy,454.8,-7.2
1955,65,Briggs Manufacturing,440.9,0.8
1955,66,Sperry,440.9,28.5
1955,67,Nabisco Group Holdings,438.3,44.8
1955,68,PPG Industries,431.0,38.6
1955,69,Dow Chemical,428.3,33.4
1955,70,Youngstown Sheet & Tube,428.2,20.2
1955,71,Kennecott,423.6,77.9
1955,72,NL Industries,419.3,36.6
1955,73,Standard Brands,415.9,10.6
1955,74,Sealed Air,413.4,14.8
1955,75,Caterpillar,401.0,25.1
1955,76,American Motors,400.3,-11.1
1955,77,Ralston Purina,399.6,15.5
1955,78,American Cyanamid,397.6,27.1
1955,79,Pullman,391.0,13.3
1955,80,Pure Oil,388.3,31.2
1955,81,BorgWarner,380.3,24.5
1955,82,Nabisco Brands,376.4,19.9
1955,83,Avco,375.4,3.6
1955,84,Unocal,349.7,35.9
1955,85,Philco,349.3,6.8
1955,86,Burlington Industries Equity,347.5,8.4
1955,87,Monsanto,341.8,23.7
1955,88,Campbell Soup,338.7,23.6
1955,89,Owens-Illinois,336.7,21.5
1955,90,Pillsbury,336.0,4.9
1955,91,Singer,333.9,11.9
1955,92,Hormel Foods,331.8,1.8
1955,93,Hygrade Food Products,324.2,1.0
1955,94,Republic Aviation,323.5,9.0
1955,95,Carnation,310.0,7.7
1955,96,Amstar,308.8,7.6
1955,97,Reynolds Metals,306.8,20.3
1955,98,Morrell (John),306.5,0.5
1955,99,BP America,304.4,18.5
1955,100,American Standard,303.4,20.4
1955,101,United Merchants & Mfrs.,300.1,9.2
1955,102,Crane,299.8,5.8
1955,103,Crown Zellerbach,298.0,26.8
1955,104,Deere,295.6,20.6
1955,105,Liggett Group,294.1,22.2
1955,106,Sylvania Electric Products,281.6,9.5
1955,107,J.P. Stevens,277.6,3.6
1955,108,Phelps Dodge,277.1,41.2
1955,109,Beatrice,275.0,4.8
1955,110,Rath Packing,273.6,1.4
1955,111,Martin Marietta,270.7,20.1
1955,112,TRW,269.0,11.7
1955,113,Quaker Oats,266.1,8.9
1955,114,Weyerhaeuser,262.5,35.5
1955,115,Colgate-Palmolive,261.8,12.5
1955,116,NCR,259.1,12.7
1955,117,Manville,253.2,16.7
1955,118,Babcock & Wilcox,250.5,15.2
1955,119,CF&I Steel,250.2,7.1
1955,120,A.O. Smith,249.6,5.4
1955,121,Marathon Oil,248.5,38.2
1955,122,Foremost Dairies,247.4,6.1
1955,123,Furniture Brands Intl.,246.8,10.2
1955,124,ACF Industries,245.1,7.8
1955,125,Otis Elevator,244.0,6.3
1955,126,Coca-Cola,243.3,25.9
1955,127,Rockwell-Standard,241.8,12.1
1955,128,J.E. Seagram,236.3,25.7
1955,129,Grumman,235.3,11.2
1955,130,National Supply,231.7,9.3
1955,131,3M,230.9,24.6
1955,132,Honeywell,229.4,15.3
1955,133,Scott Paper,228.8,18.8
1955,134,Ashland,227.9,6.6
1955,135,Del Monte Foods,226.9,6.7
1955,136,Kaisertech,226.6,14.0
1955,137,Remington Rand,225.5,12.2
1955,138,FMC,225.3,12.1
1955,139,Oscar Mayer,224.4,2.8
1955,140,Richfield Oil,222.8,25.6
1955,141,Studebaker,222.3,-26.2
1955,142,H.J. Heinz,220.6,5.6
1955,143,Admiral,219.6,6.5
1955,144,Armstrong Holdings,217.6,11.9
1955,145,American Viscose,217.2,10.5
1955,146,USG,217.0,32.4
1955,147,GenCorp,217.0,4.5
1955,148,Anheuser-Busch,215.9,12.8
1955,149,"Libby, McNeill & Libby",215.4,4.2
1955,150,Continental Baking,212.5,5.7
1955,151,Kaiser Industries,212.4,-35.5
1955,152,Aeroquip-Vickers,212.3,24.0
1955,153,Skelly Oil,211.1,29.5
1955,154,Glidden,209.1,7.1
1955,155,Archer Daniels Midland,207.7,5.0
1955,156,Motorola,205.2,7.6
1955,157,Wyeth,203.1,16.2
1955,158,International Packers,202.5,0.4
1955,159,Johnson & Johnson,200.9,9.5
1955,160,Quantum Chemical,200.1,13.7
1955,161,St. Regis,200.1,14.9
1955,162,Electric Autolite,198.5,0.7
1955,163,Arden Farms,195.1,1.9
1955,164,Bestfoods,194.7,15.8
1955,165,Revere Copper & Brass,193.3,10.3
1955,166,Hearst Consolidated Publications,190.9,-0.3
1955,167,Wheeling Pittsburgh,187.6,9.6
1955,168,Koppers,187.6,6.1
1955,169,Hercules,187.5,14.1
1955,170,Alco Products,187.2,4.6
1955,171,Container Corp. of America,186.6,13.6
1955,172,M. Lowenstein,186.0,6.8
1955,173,Bell Intercontinental,185.6,6.4
1955,174,Continental Motors,182.1,4.5
1955,175,Cannon Mills,180.2,9.1
1955,176,Pet,178.2,8.1
1955,177,Kimberly-Clark,177.3,11.1
1955,178,Raytheon,177.1,3.5
1955,179,Dart Industries,176.1,3.3
1955,180,Wesson Oil & Snowdrift,175.5,6.7
1955,181,Curtis Publishing,173.4,4.5
1955,182,Schenley Industries,172.0,3.8
1955,183,Northrop Grumman,171.4,3.8
1955,184,Allegheny International,169.6,4.2
1955,185,Whirlpool,169.5,9.2
1955,186,Kellogg,169.5,12.7
1955,187,Unisys,169.1,7.8
1955,188,Walter Industries,167.2,2.6
1955,189,Eaton,165.2,8.6
1955,190,Westvaco,164.8,13.1
1955,191,Sterling Drug,164.3,13.1
1955,192,Mid-Continent Petroleum,164.2,13.5
1955,193,Rheem Manufacturing,163.6,6.0
1955,194,Gillette,162.2,26.1
1955,195,Crucible Steel,160.6,3.7
1955,196,Brink's,159.7,2.0
1955,197,Hershey Foods,159.4,7.1
1955,198,General American Transportation,156.2,11.4
1955,199,Baldwin-Lima-Hamilton,155.2,4.1
1955,200,Dana,153.5,12.3
1955,201,Central Soya,153.1,3.9
1955,202,Carrier,151.4,6.9
1955,203,Grinnell,150.9,8.0
1955,204,Combustion Engineering,150.5,6.6
1955,205,Genesco,150.1,4.8
1955,206,Chance Vought,149.6,6.6
1955,207,Newport News Shipbuilding,149.5,7.2
1955,208,Consolidation Coal,149.2,12.1
1955,209,Corning,147.9,17.5
1955,210,Celanese,147.6,6.6
1955,211,Fruehauf,146.3,4.5
1955,212,Merck,145.5,12.6
1955,213,White Motor,145.5,4.9
1955,214,International Cellucotton Products,145.4,7.4
1955,215,Pfizer,145.2,15.2
1955,216,Pabst Brewing,145.0,2.1
1955,217,Staley Continental,144.9,5.3
1955,218,Altria Group,142.8,11.4
1955,219,National Sugar Refining,140.7,2.3
1955,220,Cone Mills,140.7,2.6
1955,221,Fairchild Engine & Airplane,140.4,4.1
1955,222,Simmons,139.1,5.4
1955,223,Brown Shoe,138.9,4.8
1955,224,Zenith Electronics,138.6,5.7
1955,225,Foster Wheeler,138.6,3.6
1955,226,Studebaker-Worthington,138.3,6.9
1955,227,Owens Corning,136.5,8.4
1955,228,Timken,135.6,10.7
1955,229,Norton,135.0,N.A.
1955,230,American Bakeries,134.8,4.4
1955,231,Campbell Taggart,133.9,4.3
1955,232,Endicott Johnson,133.3,2.1
1955,233,McGraw-Edison,132.8,9.4
1955,234,Rohm & Haas,132.6,12.4
1955,235,Lorillard,131.5,6.3
1955,236,Ingersoll-Rand,130.3,23.0
1955,237,Dresser Industries,130.2,7.4
1955,238,Kaiser Steel,128.5,7.9
1955,239,Cletrac,128.3,3.7
1955,240,Champion Papers,128.0,9.5
1955,241,National Gypsum,126.6,13.1
1955,242,AMF,126.5,4.0
1955,243,Clinton Foods,125.7,3.9
1955,244,Sunray Oil,125.2,23.2
1955,245,Eastern Gas & Fuel Associates,124.6,2.8
1955,246,Champion International,124.1,4.7
1955,247,Pittsburgh Steel,124.0,2.2
1955,248,Tecumseh Products,124.0,5.7
1955,249,Kelsey-Hayes,123.8,5.5
1955,250,General Precision Equipment,123.3,5.5
1955,251,BOC,123.3,6.3
1955,252,McDonnell Douglas,123.1,3.6
1955,253,Eli Lilly,122.3,11.3
1955,254,General Host,122.1,2.2
1955,255,Stokely-Van Camp,121.7,3.0
1955,256,Westinghouse Air Brake,121.5,7.8
1955,257,American-Marietta,120.7,5.5
1955,258,Mack Trucks,120.3,1.3
1955,259,Sunshine Biscuits,119.2,6.0
1955,260,Marathon,117.8,7.5
1955,261,Keebler,117.2,1.9
1955,262,Gair (Robert),116.4,5.1
1955,263,Bemis,115.8,1.3
1955,264,Seeger Refrigerator,112.6,6.0
1955,265,Murray Corp.,112.5,5.8
1955,266,Warren Petroleum,112.4,8.9
